date,open,close,high,low,volume
2018-02-08 15:00,4.15,4.16,4.18,4.13,17327.0
2018-02-09 10:30,4.06,4.1,4.13,4.05,22873.0
2018-02-09 11:30,4.1,4.04,4.1,3.94,27713.0
2018-02-09 14:00,4.04,4.04,4.07,4.02,9243.0
2018-02-09 15:00,4.04,4.05,4.06,3.97,20625.0
2018-02-12 10:30,4.06,4.09,4.13,4.06,11170.0
2018-02-12 11:30,4.09,4.12,4.13,4.08,7575.0
2018-02-12 14:00,4.12,4.13,4.13,4.1,7490.0
2018-02-12 15:00,4.13,4.12,4.14,4.11,13296.0
2018-02-13 10:30,4.14,4.15,4.17,4.12,13435.0
2018-02-13 11:30,4.15,4.15,4.16,4.13,5269.0
2018-02-13 14:00,4.15,4.15,4.16,4.14,12232.0
2018-02-13 15:00,4.15,4.12,4.16,4.12,11915.0
2018-02-14 10:30,4.12,4.13,4.14,4.11,4835.0
2018-02-14 11:30,4.13,4.13,4.14,4.12,1791.0
2018-02-14 14:00,4.12,4.14,4.14,4.12,3085.0
2018-02-14 15:00,4.14,4.12,4.14,4.1,13349.0
2018-02-22 10:30,4.15,4.16,4.18,4.13,11839.0
2018-02-22 11:30,4.17,4.18,4.18,4.15,5696.0
2018-02-22 14:00,4.18,4.17,4.18,4.16,5604.0
2018-02-22 15:00,4.17,4.17,4.18,4.16,10171.0
2018-02-23 10:30,4.17,4.17,4.18,4.14,10323.0
2018-02-23 11:30,4.17,4.14,4.17,4.14,8600.0
2018-02-23 14:00,4.15,4.16,4.16,4.12,7225.0
2018-02-23 15:00,4.15,4.18,4.18,4.14,8879.0
2018-02-26 10:30,4.18,4.17,4.19,4.16,13028.0
2018-02-26 11:30,4.17,4.22,4.22,4.16,17805.0
2018-02-26 14:00,4.21,4.22,4.24,4.2,13358.0
2018-02-26 15:00,4.22,4.23,4.23,4.21,16652.0
2018-02-27 10:30,4.24,4.21,4.24,4.19,20307.0
2018-02-27 11:30,4.21,4.19,4.22,4.19,10190.0
2018-02-27 14:00,4.19,4.19,4.21,4.18,9934.0
2018-02-27 15:00,4.19,4.19,4.2,4.17,13904.0
2018-02-28 10:30,4.17,4.16,4.17,4.14,16571.0
2018-02-28 11:30,4.16,4.16,4.18,4.14,7808.0
2018-02-28 14:00,4.16,4.17,4.18,4.15,6860.0
2018-02-28 15:00,4.17,4.17,4.19,4.16,10635.0
2018-03-01 10:30,4.15,4.17,4.18,4.13,11587.0
2018-03-01 11:30,4.17,4.19,4.19,4.17,11787.0
2018-03-01 14:00,4.19,4.18,4.2,4.17,14675.0
2018-03-01 15:00,4.18,4.2,4.2,4.17,16775.0
2018-03-02 10:30,4.18,4.19,4.19,4.16,13767.0
2018-03-02 11:30,4.19,4.2,4.21,4.18,14024.0
2018-03-02 14:00,4.2,4.19,4.2,4.18,7620.0
2018-03-02 15:00,4.19,4.2,4.2,4.18,14335.0
2018-03-05 10:30,4.2,4.19,4.21,4.18,9480.0
2018-03-05 11:30,4.19,4.18,4.2,4.16,8122.0
2018-03-05 14:00,4.18,4.19,4.19,4.17,5684.0
2018-03-05 15:00,4.19,4.23,4.23,4.18,21782.0
2018-03-06 10:30,4.22,4.21,4.23,4.21,11369.0
2018-03-06 11:30,4.21,4.25,4.25,4.21,8991.0
2018-03-06 14:00,4.25,4.25,4.25,4.23,18309.0
2018-03-06 15:00,4.25,4.25,4.26,4.24,18284.0
2018-03-07 10:30,4.25,4.25,4.26,4.23,24718.0
2018-03-07 11:30,4.25,4.24,4.26,4.24,7850.0
2018-03-07 14:00,4.24,4.22,4.25,4.21,12795.0
2018-03-07 15:00,4.22,4.21,4.23,4.21,8667.0
2018-03-08 10:30,4.23,4.2,4.23,4.17,20089.0
2018-03-08 11:30,4.2,4.2,4.21,4.19,5106.0
2018-03-08 14:00,4.2,4.2,4.21,4.2,4869.0
2018-03-08 15:00,4.2,4.22,4.23,4.2,11555.0
2018-03-09 10:30,4.22,4.22,4.24,4.22,13407.0
2018-03-09 11:30,4.22,4.25,4.25,4.22,12165.0
2018-03-09 14:00,4.25,4.26,4.26,4.24,17249.0
2018-03-09 15:00,4.26,4.35,4.38,4.25,78232.0
2018-03-12 10:30,4.35,4.32,4.37,4.32,87672.0
2018-03-12 11:30,4.32,4.35,4.35,4.32,10790.0
2018-03-12 14:00,4.35,4.37,4.39,4.34,13433.0
2018-03-12 15:00,4.37,4.37,4.39,4.36,17165.0
2018-03-13 10:30,4.37,4.36,4.37,4.34,30285.0
2018-03-13 11:30,4.36,4.38,4.38,4.35,12996.0
2018-03-13 14:00,4.38,4.37,4.39,4.36,10368.0
2018-03-13 15:00,4.37,4.32,4.38,4.31,20424.0
2018-03-14 10:30,4.33,4.33,4.34,4.31,12631.0
2018-03-14 11:30,4.33,4.29,4.34,4.29,10175.0
2018-03-14 14:00,4.3,4.29,4.3,4.28,9348.0
2018-03-14 15:00,4.29,4.29,4.3,4.27,11684.0
2018-03-15 10:30,4.27,4.26,4.28,4.24,14209.0
2018-03-15 11:30,4.26,4.25,4.26,4.24,6171.0
2018-03-15 14:00,4.25,4.24,4.26,4.22,11668.0
2018-03-15 15:00,4.24,4.25,4.26,4.23,8404.0
2018-03-16 10:30,4.25,4.27,4.28,4.24,8063.0
2018-03-16 11:30,4.27,4.26,4.28,4.25,6950.0
2018-03-16 14:00,4.26,4.27,4.27,4.25,5039.0
2018-03-16 15:00,4.27,4.24,4.27,4.24,12341.0
2018-03-19 10:30,4.24,4.23,4.24,4.2,16177.0
2018-03-19 11:30,4.23,4.26,4.26,4.22,6963.0
